,ID,Members,cables,frequency,from,name,operator,operator:wikidata,operator:wikipedia,ref,route,to,type,voltage,wires,via,note,was:to,via:2,gez,not:operator:wikidata,planned,disused,description,circuits,fixme,location
271,10960488,"['202499717', '788126345', '788064911', '788064910', '890246122', '788064909', '99167264', '378297270', '241958534', '39626060', '98633217', '27748857', '234161543', '234161547', '944513498', '942448205', '202499719', '202499721']",3,50,Umspannwerk Neuenhagen,Hochspannungsleitung Nhg - Fü 1,E.DIS Netz GmbH,Q1273411, ,1,power, ,route,110000, , , , , , , , , , , , , 
272,11104985,"['244022584', '289373971', '88351474', '88351465', '804411983', '289548404', '804442858', '149675988']",3,50, ,Met-Slw 2,E.DIS Netz GmbH, , , ,power, ,route,110000,single, , , , , , , , , , , , 
273,11104986,"['149675988', '289548412', '289548404', '804442862', '804411984', '88351472']",3,50, ,Le-Slw 1,E.DIS Netz GmbH, , , ,power, ,route,110000, , , , , , , , , , , , , 
274,11105096,"['791138790', '791138792', '490512543']",3,50, ,GotW-MetN 1,E.DIS Netz GmbH, , , ,power, ,route,110000, , , , , , , , , , , , , 
275,11105097,"['804447912', '490512543', '244022584']",3,50, ,MetN-Met 1,E.DIS Netz GmbH, , , ,power, ,route,110000, , , , , , , , , , , , , 
276,11105098,"['490665866', '791138771', '490512543', '1090618322']",3,50,Umspannwerk Heinersdorf,Hochspannungsleitung Hnd - MetN 1,E.DIS Netz GmbH,Q1273411, ,HT-2095,power, ,route,110000, , , , , , , , , , , , , 
277,11105718,"['99694790', '99694789', '942448205', '202260413', '202263539', '241832054', '804607532', '99694791', '241832049', '289373980', '244022584', '804607533', '804694063', '422663120', '804607535', '1090874998', '234161546', '804694062']",3,50,Umspannwerk Neuenhagen,Hochspannungsleitung Nhg-Met 1,E.DIS Netz GmbH,Q1273411, , ,power, ,route,110000, , , , , , , , , , , , , 
278,11106292,"['244022584', '289373975', '241832049', '241832043', '99694791', '241832054', '804607532', '241832037', '804607533', '202260413', '99694789', '804694062', '234161541', '1090874999', '942448205', '804607536']",3,50,Umspannwerk Neuenhagen,Hochspannungsleitung Nhg - Met 2,E.DIS Netz GmbH,Q1273411, ,2,power, ,route,110000,single, , , , , , , , , , , , 
279,11195813,"['208256289', '208256287', '815128553']", , ,Thyrow,Hochspannungsleitung 525,50Hertz Transmission,Q241331,de:50Hertz Transmission, ,power,Wustermark,route, , , , , , , , , , , , , , 
280,11207602,"['39243044', '31262306', '39243047', '347993178']",3,50, ,Hochspannungsleitung 838,Stromnetz Berlin,Q110255475, ,838,power,Biesdorf Nord,route,110000, , , , , , , , , , , , , 
281,11207603,"['31262306', '39243048', '347993143']",3,50, ,Hochspannungsleitung 835,Stromnetz Berlin,Q110255475, ,835,power,Biesdorf Nord,route,110000, , , , , , , , , , , , , 
282,11207616,"['39243044', '31262306', '39243047', '347993178']",3,50, ,Hochspannungsleitung 838,Stromnetz Berlin,Q110255475, ,838,power,Biesdorf Nord,route,110000, , , , , , , , , , , , , 
283,11207617,"['31262306', '39243048', '347993143']",3,50, ,Hochspannungsleitung 835,Stromnetz Berlin,Q110255475, ,835,power,Biesdorf Nord,route,110000, , , , , , , , , , , , , 
284,11223312,"['154779933', '704076600', '58297184', '634203760', '700983792', '28729619', '398680313']",3,50,Schönewalde,Hochspannungsleitung 503 Schönewalde-Jessen Nord, , , ,503,power,Jessen Nord,route,380000,quad, , , , , , , , , , , , 
285,12104184,"['889250286', '201687011', '41705263', '378282232', '955779072', '378282238', '142677488', '941443168']",3,50, , ,E.DIS Netz GmbH,Q1273411, , ,power, ,route,110000, , , , , , , , , , , , , 
286,12104185,"['941443168', '201687010', '955779073', '378282232', '41705263', '201687011', '889250285', '142677488']",3,50, , ,E.DIS Netz GmbH,Q1273411, , ,power, ,route,110000, , , , , , , , , , , , , 
287,13258053,"['173538641', '288789771', '174094910', '976327383', '288789769', '947583933', '34794998', '941198517', '34794999']",3,50,Umspannwerk Preilack,Hochspannungsleitung Prl - - Ndf 3,MITNETZ Strom,Q56199578, ,Prl - - Ndf 3,power, ,route,110000, , , , , , , , , , , , , 
288,13258054,"['986413431', '174094914', '288790878', '947583931', '173538641', '947583930', '941198517']",3,50,Umspannwerk Preilack,Hochspannungsleitung Prl - - Ndf 1,MITNETZ Strom,Q56199578, ,Prl - - Ndf 1,power, ,route,110000, , , , , , , , , , , , , 
289,13345393,"['288891767', '825941237', '78689332', '170123821', '74003848', '78689316', '39428980']",3,50, ,Vrd - Ang 1,edis Netz GmbH, , , ,power, ,route,110000, , , , , , , , , , , , , 
290,13345394,"['39428980', '170123831', '170123821', '78689334', '78689337', '78689332', '825941238', '288891777', '78689316']",3,50, , ,edis Netz GmbH, , ,Vrd - Ang 2,power, ,route,110000, , , , , , , , , , , , , 
291,13349976,"['174009902', '995231227', '23088897', '995231229', '149674457', '174007254', '174010330', '944518090', '176548909', '988410988', '1086564587']",3,50,Umspannwerk Ragow,Hochspannungsleitung Rag - - Vet 2,MITNETZ Strom,Q56199578, ,2,power, ,route,110000, , , , , , , , , , , , , 
292,13349977,"['174007254', '995231229', '23088897', '995231228', '174744770', '174744771', '174744769', '377804095', '149674457', '377804097', '988410987', '221456988', '944518091', '174010330', '1086564587']",3,50,Umspannwerk Ragow,Hochspannungsleitung Rag - - CotW 1,MITNETZ Strom,Q56199578, ,1,power, ,route,110000, , , , , , , , , , , , , 
293,13349978,"['922832908', '174009902', '995231226', '174744770', '174744773', '174038229', '995231232']",3,50, , ,enviaM, , ,Vet - Cot 4,power, ,route,110000, , , , , , , , , , , , , 
294,13349979,"['377804097', '995231231', '174038229', '174744772', '174744769', '377804095', '922832908']",3,50, , , , , ,CotW - Cot 3,power, ,route,110000, , , , , , , , , , , , , 
295,13349994,"['803445412', '398009782', '803445417', '803445411', '803445418', '201579966', '1068684582', '201581726', '174010331', '944518092', '221456976', '174345528', '803445419', '174345529', '234155830', '24657870', '1086564587']",3,50,Umspannwerk Ragow,Hochspannungsleitung Rag - - Grä 7,MITNETZ Strom,Q56199578, ,7,power,Umspannwerk Großräschen,route,110000, , , , , , , , , ,Rag - Ca - Grä 7, , , 
296,13349995,"['803445415', '398009782', '803445417', '803445411', '803445418', '201579966', '1068684584', '201581728', '174010331', '944518093', '221456994', '174345528', '803445419', '174345529', '234155830', '24657870', '1086564587']",3,50,Umspannwerk Ragow,Hochspannungsleitung Rag - - Grä 8,MITNETZ Strom,Q56199578, ,8,power,Umspannwerk Großräschen,route,110000, , , , , , , , , ,Rag - Ca - Grä 8, , , 
297,13350111,"['193800920', '221457009', '944518097', '39096824', '193800922', '244423489', '987011489', '244423487', '988410991', '988410993', '244423484', '988410968', '244423490', '987011487', '244423494', '193800926', '39094403', '1086564587']",3,50, ,Hochspannungsleitung Uck - - Rag 1,MITNETZ Strom,Q56199578, ,1,power,Umspannwerk Ragow,route,110000, , , , , , , , , , , , , 
298,13350112,"['221457009', '944518096', '221456975', '244423489', '987011489', '244423487', '988410991', '988410993', '244423484', '987011488', '193800923', '988410989', '988410990', '988410992', '743383945', '39094403', '988410970', '1086564587']",3,50, ,Hochspannungsleitung Uck - - Rag 2,MITNETZ Strom,Q56199578, ,2,power,Umspannwerk Ragow,route,110000, , , , , , , , , , , , , 
299,13352262,"['995322886', '174125228', '995322894', '173538641', '174112688']",3,50, , ,enviaM,Q1345871,de:Envia Mitteldeutsche Energie,Ndf - Pei 4,power, ,route,110000, , , , , , , , , , , , , 
300,13352263,"['995322890', '174125228', '995322895', '173538641', '174112688']",3,50, , ,enviaM,Q1345871,de:Envia Mitteldeutsche Energie,Ndf - Pei 3,power, ,route,110000, , , , , , , , , , , , , 
301,13352264,"['378278928', '201293634', '201293633', '173538641', '210802714', '116536988', '922832908']",3,50, , ,enviaM,Q1345871,de:Envia Mitteldeutsche Energie,Ndf - Cot 1,power, ,route,110000, , , , , , , , , , , , , 
302,13352265,"['173538641', '378278929', '201293634', '995322897', '210802714', '116536988', '922832908']",3,50, , ,enviaM,Q1345871,de:Envia Mitteldeutsche Energie,Ndf - Cot 2,power, ,route,110000, , , , , , , , , , , , , 
303,13393297,"['375105917', '175417684', '1086579028', '951999933', '729861856', '244279966', '179095411', '944518098', '620419972', '998116825', '554335723', '998116826', '1086564587']",3,50,Umspannwerk Ragow,Hochspannungsleitung Rag- -Lü 1,MITNETZ Strom,Q56199578, ,1,power, ,route,110000, , , , , , , , , , , , , 
304,13393298,"['554335723', '729861856', '244279966', '244279970', '1086579022', '193800924', '179095411', '944518099', '620419975', '204138763', '1086564587', '244279964', '951999930', '998116824']",3,50,Umspannwerk Ragow,Hochspannungsleitung Rag- -Lü 2,MITNETZ Strom,Q56199578, ,2,power, ,route,110000, , , , , , , , , , , , , 
305,13764419,"['77946498', '23479349', '242114570', '1028410709', '1028410710', '1028410711', '1028410712', '1028410707', '1028410714', '1028523631', '1028410713', '1068395552', '1028410708', '1021912967', '1028523636', '1068400050', '863454998', '889180904']",3,50,Freienbrink, ,E.DIS Netz GmbH,Q1273411,de:E.DIS,Fbr - Ek 2,power,Erkner,route,110000, , , , , , , , , , , , , 
306,14236924,"['157328339', '1068350839', '1068364865', '1068364863', '154787322', '510573269', '168688073']",3, ,Umspannwerk Altdöbern,Hochspannungsleitung ___ Altdöbern - Streumen,50Hertz Transmission,Q241331,de:50Hertz Transmission,___,power,Umspannwerk Streumen,route,380000, , , , , , , , , , , ,wires ?, 
307,14454142,"['851299584', '24530081', '30419113', '30419417', '259468200', '259468201', '953460013', '59707533', '274603394', '59707532', '1086324789', '274603398', '907494428', '907494425', '851945928']",3,50,Umspannwerk Putlitz Süd,Hochspannungsleitung ___ Putlitz Süd - Perleberg,50Hertz Transmission,Q241331,de:50Hertz Transmission, ,power,Umspannwerk Perleberg,route,380000,triple,Umspannstation Putlitz, , , , , , , , , , , 
308,14460330,"['851299584', '164015333', '953458920', '41036073', '30419119', '24530081', '907494428', '907494424', '851945927', '33169401']",3,50,Umspannwerk Putlitz Süd,Hochspannungsleitung ___ Putlitz Süd - Stendal West,50Hertz Transmission,Q241331,de:50Hertz Transmission, ,power,Umspannwerk Stendal West,route,380000,triple, , , , , , , , , , , , 
309,14510979,"['30164703', '1089773441', '58430973', '59550315', '942770516', '59550311']",3,50,Kraftwerk Schwarze Pumpe B,Hochspannungsleitung ___ Schwarze Pumpe B - Graustein, , , , ,power,Umspannwerk Graustein,route,380000, , , , , , , , , , , , , 
310,14510980,"['30164703', '58430972', '1089773440', '59550315', '942770515', '59550331']",3,50,Kraftwerk Schwarze Pumpe A,Hochspannungsleitung ___ Schwarze Pumpe A - Graustein, , , , ,power,Umspannwerk Graustein,route,380000, , , , , , , , , , , , , 
311,14569506,"['517421342', '517421325', '1093664414', '259468200', '259468196', '971991900', '971991895', '611278560', '26472665']",3,50,Wolmirstedt,Hochspannungsleitung 332 Wolmirstedt - Parchim/süd,50Hertz Transmission,Q241331,de:50Hertz Transmission,332,power,Parchim/Süd,route,220000,double, , , , , , , , , , , , 
